"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "PostCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"d:\_KienCuongAuto_\frontend\src\components\sections\CarSearchBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 12, 107
"d:\_KienCuongAuto_\frontend\src\components\sections\HeroSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 6, 67
"d:\_KienCuongAuto_\frontend\src\components\sections\NewArrivalsSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 93, 0, 6, 9, 108
"d:\_KienCuongAuto_\frontend\src\components\sections\ServicesSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 4, 76
"d:\_KienCuongAuto_\frontend\src\components\ui\Pagination.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 113, 0, 0, 18, 131
"d:\_KienCuongAuto_\frontend\src\components\ui\card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"d:\_KienCuongAuto_\frontend\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 52, 0, 11, 9, 72
"d:\_KienCuongAuto_\frontend\src\hooks\usePageTracking.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 6, 10, 54
"d:\_KienCuongAuto_\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 62, 0, 0, 0, 14, 76
"d:\_KienCuongAuto_\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\_KienCuongAuto_\frontend\src\pages\About\AboutKienCuong.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 118, 0, 0, 15, 133
"d:\_KienCuongAuto_\frontend\src\pages\Admin\AddCar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 12, 93
"d:\_KienCuongAuto_\frontend\src\pages\Admin\AnalyticsDashBoard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 207, 0, 9, 26, 242
"d:\_KienCuongAuto_\frontend\src\pages\Admin\CarManager.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 261, 0, 9, 31, 301
"d:\_KienCuongAuto_\frontend\src\pages\Admin\EditCar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 257, 0, 4, 32, 293
"d:\_KienCuongAuto_\frontend\src\pages\Admin\Overview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 7, 7, 58
"d:\_KienCuongAuto_\frontend\src\pages\Auth\Account.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 147, 0, 12, 18, 177
"d:\_KienCuongAuto_\frontend\src\pages\Auth\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 120, 0, 7, 14, 141
"d:\_KienCuongAuto_\frontend\src\pages\Auth\SignUp.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 143, 0, 9, 16, 168
"d:\_KienCuongAuto_\frontend\src\pages\Branches\BranchDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 24, 281
"d:\_KienCuongAuto_\frontend\src\pages\Branches\Branches.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 18, 120
"d:\_KienCuongAuto_\frontend\src\pages\Car\BuyCar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 298, 0, 26, 38, 362
"d:\_KienCuongAuto_\frontend\src\pages\Car\CarDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 310, 0, 10, 35, 355
"d:\_KienCuongAuto_\frontend\src\pages\Home\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"d:\_KienCuongAuto_\frontend\src\utils\axios.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"d:\_KienCuongAuto_\frontend\vite.config.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 1, 1, 19
"d:\_KienCuongAuto_\package-lock.json", "JSON", 0, 370, 0, 0, 0, 0, 0, 0, 1, 371
"d:\_KienCuongAuto_\package.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"Total", "-", 125, 7327, 13, 942, 62, 4080, 2, 239, 767, 13557
